,,,pyramid,stolowd,raw,25,194,37,70,276,24,20,130,15,14,21,14,75,57,130,18,273,29,21,6,32,31,15,20,8,26,14,102,50,24,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q=2; G=1;  else 0,bee,sary,raw,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,,,,,,,,
,,,bee,sal,raw,1,2,1,2,1,1,0,1,1,2,2,2,2,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,0,,,,,,,,
,,,bee,bob,raw,2,1,0,1,1,1,1,0,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,0,1,,,,,,,,
,,,bee,stolowd,raw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,start w/:,gorsy,shack,mured,midst,sagos,allee,nixes,galas,shoon,cager,griff,savvy,beery,runic,lalls,bosky,koppa,fauld,odist,gorse,arles,vying,faros,decoy,woald,pepos,yaffs,slubs,bhoot,admix,caves,,,,,,,,
,,slots left; fail = -1,wordle,sary,raw,2,2,1,2,3,1,1,1,2,3,2,3,2,0,1,4,2,3,3,3,0,2,2,1,1,2,1,2,2,1,1,,,,,,,,
,,,wordle,sal,raw,2,3,2,2,1,3,3,1,2,3,2,3,2,2,1,4,3,3,3,2,1,1,2,2,1,2,2,2,2,3,2,,,,,,,,
,,,wordle,bob,raw,1,2,1,2,1,1,2,2,2,1,2,3,2,2,1,3,1,3,3,0,3,1,1,0,3,1,1,1,2,2,0,,,,,,,,
,,,wordle,stolowd,raw,1,1,2,2,2,1,3,2,1,2,2,4,2,2,2,3,3,3,2,2,2,2,3,3,2,2,1,2,2,3,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>6 = +10s/guess,keyword,sary,raw,6,26,29,26,66,16,11,21,10,13,42,30,6,26,48,20,43,25,41,8,71,5,108,71,18,56,110,57,25,47,30,,,,,,,,
,,,keyword,sal,raw,15,9,26,8,17,19,27,13,21,43,44,15,4,34,20,27,15,19,61,7,26,31,31,30,16,89,35,49,24,33,51,,,,,,,,
,,,keyword,bob,raw,33,10,9,12,20,10,11,88,25,10,35,9,5,554,27,10,18,35,12,62,15,6,207,38,18,48,25,15,28,59,60,,,,,,,,
,,,keyword,stolowd,raw,20,14,37,12,26,18,13,12,10,13,17,11,8,52,13,14,23,17,38,31,17,10,19,41,9,17,25,42,12,64,34,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,score,quintumble,sary,raw,99,98,100,99,98,96,100,100,99,99,95,96,82,99,95,100,99,97,81,99,98,95,84,100,100,100,100,97,100,98,41,,,,96.72413793,,,,
,,,quintumble,sal,raw,99,99,100,98,98,99,99,98,100,100,100,100,97,100,99,100,100,98,100,99,100,98,100,100,99,100,99,99,99,99,99,,,,99.20689655,,,,
,,,quintumble,bob,raw,99,99,100,65,98,98,54,99,100,49,98,99,85,99,100,100,97,99,67,75,100,97,99,100,96,100,99,99,99,99,0,,,,92.03448276,,,,
,,,quintumble,stolowd,raw,100,99,98,97,99,98,98,99,100,94,99,99,100,99,98,100,100,98,99,99,99,98,94,100,94,99,100,100,98,99,96,,,,98.44827586,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,,,=,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,crossword,sary,rank,3,3,4,4,2,2,3,1,3,2,4,1,4,3,1,1,4,4,3,3,3,1,1,1,4,2,2,4,2,3,2,,,,2.6,,,,
,,,crossword,sal,rank,4,4,2,2,4,4,4,4,2,3,3,2,3,2,4,2,2,3,2,4,4,4,3,3,1,4,3,3,4,2,3,,,,3.033333333,,,,
,,,crossword,bob,rank,2,1,3,1,3,1,1,3,1,1,1,3,2,1,2,4,3,1,4,2,2,2,2,2,2,3,4,1,3,1,4,,,,2.066666667,,,,
,,,crossword,stolowd,rank,1,2,1,3,1,3,2,2,4,4,2,4,1,4,3,3,1,2,1,1,1,3,4,4,3,1,1,2,1,4,1,,,,2.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,connections,sary,rank,1,3,4,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,,,,1.4,,,,
,,,connections,sal,rank,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,3,1,1,3,4,1,1,,,,1.366666667,,,,
,,,connections,bob,rank,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,3,4,,,,1.266666667,,,,
,,,connections,stolowd,rank,1,4,1,1,1,1,1,1,1,1,1,4,1,4,4,4,1,4,1,1,1,1,1,2,1,1,1,4,1,4,1,,,,1.833333333,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pyramid,sary,rank,3,3,3,1,3,4,4,2,2,3,1,2,2,1,4,1,2,3,1,2,3,1,2,4,2,3,3,4,1,2,3,,,,2.4,,,,
,,,pyramid,sal,rank,2,4,1,2,1,3,1,1,3,2,4,4,1,4,1,4,1,4,3,3,1,4,1,3,3,1,4,3,2,4,2,,,,2.5,,,,
,,,pyramid,bob,rank,4,1,2,3,4,1,3,3,4,4,3,3,3,2,2,3,3,2,4,4,2,3,4,1,4,4,1,1,4,3,4,,,,2.833333333,,,,
,,,pyramid,stolowd,rank,1,2,4,4,2,2,2,4,1,1,2,1,4,3,3,2,4,1,2,1,4,2,3,2,1,2,2,1,3,1,1,,,,2.233333333,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bee,sary,rank,1,2,1,2,1,1,1,1,1,2,3,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,,,,1.366666667,,,,
,,,bee,sal,rank,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,,,,1.166666667,,,,
,,,bee,bob,rank,1,2,4,2,1,1,1,4,1,2,1,2,2,1,1,1,2,4,1,2,1,1,2,1,1,1,1,1,3,4,1,,,,1.733333333,,,,
,,,bee,stolowd,rank,3,2,1,2,1,1,1,1,1,2,3,2,2,1,1,1,2,1,1,2,1,1,2,1,1,4,1,1,3,2,1,,,,1.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,wordle,sary,rank,1,2,3,1,1,2,4,3,1,1,1,2,1,4,2,1,3,1,1,1,4,1,2,3,3,1,2,1,1,4,3,,,,1.933333333,,,,
,,,wordle,sal,rank,1,1,1,1,3,1,1,3,1,1,1,2,1,1,2,1,1,1,1,2,3,3,2,2,3,1,1,1,1,1,2,,,,1.5,,,,
,,,wordle,bob,rank,3,2,3,1,3,2,3,1,1,4,1,2,1,1,2,3,4,1,1,4,1,3,4,4,1,4,2,4,1,3,4,,,,2.333333333,,,,
,,,wordle,stolowd,rank,3,4,1,1,2,2,1,1,4,3,1,1,1,1,1,3,1,1,4,2,2,1,1,1,2,1,2,1,1,1,1,,,,1.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,keyword,sary,rank,1,4,3,4,4,2,1,3,1,2,3,4,3,1,4,3,4,3,3,2,4,1,3,4,3,3,4,4,3,2,1,,,,,,,,
,,,keyword,sal,rank,2,1,2,1,1,4,4,2,3,4,4,3,1,2,2,4,1,2,4,1,3,4,2,1,2,4,3,3,2,1,3,,,,,,,,
,,,keyword,bob,rank,4,2,1,2,2,1,1,4,4,1,2,1,2,4,3,1,2,4,1,4,1,2,4,2,3,2,1,1,4,3,4,,,,,,,,
,,,keyword,stolowd,rank,3,3,4,2,3,3,3,1,1,2,1,2,4,3,1,2,3,1,2,3,2,3,1,3,1,1,1,2,1,4,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,quintumble,sary,rank,2,4,1,1,2,4,1,1,4,2,4,4,4,2,4,1,3,4,3,1,4,4,4,1,1,1,1,4,1,4,3,,,,2.517241379,,,,
,,,quintumble,sal,rank,2,1,1,2,2,1,2,4,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,3,2,2,1,1,,,,1.517241379,,,,
,,,quintumble,bob,rank,2,1,1,4,2,2,4,2,1,4,3,2,3,2,1,1,4,1,4,4,1,3,2,1,3,1,3,2,2,1,4,,,,2.275862069,,,,
,,,quintumble,stolowd,rank,1,1,4,3,1,2,3,2,1,3,2,2,1,2,3,1,1,2,2,1,3,1,3,1,4,4,1,1,4,1,2,,,,2.068965517,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,raw rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,sary,rank,12,21,19,14,14,16,15,12,13,13,20,16,17,13,17,10,19,17,13,12,20,10,15,18,15,12,14,19,10,18,14,,,,442,,,,
,,,,sal,rank,15,13,9,10,13,15,17,16,12,13,15,14,10,12,13,14,8,14,13,13,17,18,11,13,15,13,16,16,16,11,16,,,,390,,,,
,,,,bob,rank,17,10,15,14,19,9,14,18,13,17,12,14,14,12,12,15,19,14,16,21,9,15,19,12,17,16,13,11,18,18,25,,,,426,,,,
,,,,stolowd,rank,13,18,16,16,11,14,13,12,13,16,12,16,14,18,16,16,13,12,13,11,14,12,15,14,13,14,9,12,14,17,9,,,,404,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,rank rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,sary,,1,4,4,2,3,4,3,1,2,1,4,3,4,3,4,1,3,4,1,2,4,1,2,4,2,1,3,4,1,3,2,,,,80,,,,
,,,,sal,,3,2,1,1,2,3,4,3,1,1,3,1,1,1,2,2,1,2,1,3,3,4,1,2,2,2,4,3,3,1,3,,,,63,,,,
,,,,bob,,4,1,2,2,4,1,2,4,2,4,1,1,2,1,1,3,3,2,4,4,1,3,4,1,4,4,2,1,4,3,4,,,,75,,,,
,,,,stolowd,,2,3,3,4,1,2,1,1,2,3,1,3,2,4,3,4,2,1,1,1,2,2,2,3,1,3,1,2,2,2,1,,,,63,I revised the formulas for totaling on 1/1/25l DS,,,
