,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,xword,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,connections,0 mistakes = 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 = 4; 2 = 3; 3= 2; 4 = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,1,0.5
,,pyramid,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,2,0.75
,,bee,non-genius = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,3,0.75
,,,genius = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,4,0.75
,,,queen = 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,5,0.5
,,waffle,# stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,6,0.5
,,wordle,unneeded moves; fail = -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturday,7,0.5
,,keyword,seconds. Each guess over six adds 10 seconds. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,flashback,weekly --  # correct (of 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,xword handicap,,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,,,,,,,,,,
,,,wordle,bob,raw,2,1,2,3,2,2,3,2,2,2,2,3,2,2,3,1,2,0,2,1,3,3,4,2,3,3,4,2,3,2,3,,,,,,,,,,
,,,wordle,stolowd,raw,3,1,3,3,2,2,3,2,1,2,2,2,3,3,3,3,2,2,3,2,1,3,4,2,2,3,3,2,3,2,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>6 = +10s/guess,keyword,sary,raw,160,30,140,20,18,15,85,51,179,18,57,44,48,193,73,11,12,131,28,50,17,131,42,41,89,17,25,129,86,42,37,,,,,,,,,,
,,,keyword,sal,raw,43,28,155,11,21,12,94,42,44,15,140,39,21,113,45,14,22,14,20,65,17,59,26,66,24,24,11,45,60,9,22,,,,,,,,,,
,,,keyword,bob,raw,6,20,31,15,25,40,59,15,90,37,53,74,37,198,24,13,18,11,25,55,22,18,71,89,22,10,7,82,39,8,44,,,,,,,,,,
,,,keyword,stolowd,raw,9,22,37,12,49,26,68,68,43,16,116,63,23,104,17,19,14,14,24,46,16,12,38,47,18,14,9,69,30,17,45,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,score,quintumble,sary,raw,77,75,99,73,62,99,99,55,97,97,76,75,42,33,98,62,98,86,86,73,96,96,98,97,97,75,51,72,40,99,99,,,,,,80.06451613,,,,
,,,quintumble,sal,raw,99,99,91,96,99,96,99,100,89,99,97,100,96,97,96,98,97,97,99,94,83,98,94,95,97,100,99,96,100,99,99,,,,,,96.70967742,,,,
,,,quintumble,bob,raw,98,99,100,75,98,88,97,99,87,97,99,99,98,73,99,99,97,99,98,46,97,100,99,88,97,98,57,42,50,98,97,,,,,,89.29032258,,,,
,,,quintumble,stolowd,raw,83,91,98,96,99,98,100,98,92,95,98,100,97,99,99,88,97,98,99,98,98,96,92,98,97,94,94,99,99,99,96,,,,,,96.29032258,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,# correct,flashback,sary,raw,,6,,,,,,,7,,,,,,,7,,,,,,,7,,,,,,,8,,,,,,,,,,,
,,,flashback,sal,raw,,7,,,,,,,7,,,,,,,8,,,,,,,7,,,,,,,7,,,,,,,,,,,
,,,flashback,bob,raw,,8,,,,,,,7,,,,,,,8,,,,,,,7,,,,,,,6,,,,,,,,,,,
,,,flashback,stolowd,raw,,8,,,,,,,8,,,,,,,7,,,,,,,7,,,,,,,8,,,,,,,,,,,
,,,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,,,,,=,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,crossword,sary,rank,3,2,4,3,4,2,2,1,3,1,3,2,4,2,3,4,2,1,3,2,3,2,1,4,4,3,2,1,1,1,2,,,,,,2.419354839,,,,
,,,crossword,sal,rank,4,1,2,1,1,4,1,4,4,4,1,4,3,3,1,3,1,4,2,4,1,3,4,3,2,4,4,2,2,4,1,,,,,,2.64516129,,,,
,,,crossword,bob,rank,2,3,3,2,2,1,4,2,1,2,1,1,1,4,4,2,3,2,1,1,4,1,3,1,1,1,1,3,4,3,3,,,,,,2.161290323,,,,
,,,crossword,stolowd,rank,1,4,1,4,3,3,3,3,2,3,4,3,2,1,2,1,4,3,4,3,2,4,2,2,3,2,3,4,3,2,4,,,,,,2.741935484,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,connections,sary,rank,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,4,3,2,1,1,1,1,,,,,,1.516129032,,,,
,,,connections,sal,rank,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,,,,,,1.193548387,,,,
,,,connections,bob,rank,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,1,4,1,1,,,,,,1.322580645,,,,
,,,connections,stolowd,rank,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,,,,,,1.290322581,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
